tweet_id,retweeter,tweeter
7.4589E+17,Australiaunwra6,annika1061
7.4589E+17,Alexicon83,LogicalCampaign
7.45891E+17,theordinaryman2,theordinaryman2
7.45891E+17,sturdyAlex,KathyBurke
7.45891E+17,Alexicon83,BrianMcAuslan
7.45891E+17,Alexicon83,Englishpapist
7.45891E+17,Alexicon83,Citizensmif21
7.45891E+17,Dwalingen,Damnager
7.45891E+17,vote_leave,AshleyDG1998
7.45891E+17,Alexicon83,LogicalCampaign
7.45891E+17,Alexicon83,LogicalCampaign
7.45891E+17,Dwalingen,Dwalingen
7.45891E+17,LouiseMensch,earlofbelmont
7.45891E+17,Dwalingen,Dwalingen
7.45891E+17,Dwalingen,Dwalingen
7.45892E+17,Dwalingen,1markconway
7.45892E+17,Dwalingen,Boogschutter10
7.45892E+17,Dwalingen,ira_tenax
7.45892E+17,Dwalingen,Dwalingen
7.45892E+17,vote_leave,mundaufmachen
7.45892E+17,JuliaHB1,stephenpollard
7.45892E+17,StrongerInPress,MattHancockMP
7.45892E+17,LibDems,juliet_s_gray
7.45893E+17,HonourCovenant,HonourCovenant
7.45893E+17,LibDems,joebreaks311290
7.45893E+17,Alexicon83,bondrich
7.45893E+17,Alexicon83,eddie9596
7.45893E+17,Alexicon83,Trudgeteacher
7.45893E+17,Alexicon83,EDPC7
7.45893E+17,LeaveEUOfficial,YIofficial
7.45893E+17,Alexicon83,BanTheBBC
7.45893E+17,Alexicon83,DanHannanMEP
7.45893E+17,CarolineLucas,weareeuropeuk
7.45894E+17,Alexicon83,Mike_Fabricant
7.45894E+17,CarolineLucas,JacksonT0ny
7.45894E+17,LouiseMensch,frank8427zz9za
7.45894E+17,vote_leave,voteleavedorset
7.45894E+17,Alexicon83,voteleavedorset
7.45894E+17,Alexicon83,Linda_b_123
7.45894E+17,Alexicon83,Betelgeuse2015
7.45894E+17,Alexicon83,peterjitter
7.45894E+17,LouiseMensch,Glenn_Williams1
7.45895E+17,Alexicon83,Englishpapist
7.45895E+17,LouiseMensch,MrRBourne
7.45895E+17,Australiaunwra6,jansen_mila
7.45896E+17,StrongerIn,StrongerInPress
7.45896E+17,NathanGillMEP,PigeonRr
7.45896E+17,junayed_,GaryLineker
7.45896E+17,NathanGillMEP,peterdominiczak
7.45897E+17,PoliticsGhost,JimmyCapitalist
7.45897E+17,NathanGillMEP,DavidRowlandsAM
7.45897E+17,Alexicon83,tudorrose16
7.45897E+17,Alexicon83,swinny198
7.45897E+17,Alexicon83,LogicalCampaign
7.45897E+17,Alexicon83,REnlightenment
7.45897E+17,KTHopkins,selinawatermans
7.45897E+17,Alexicon83,BrexitBulldog
7.45897E+17,LibDems,Bex_the_Green
7.45897E+17,NathanGillMEP,LeaveEUOfficial
7.45897E+17,vote_leave,cholt_1
7.45897E+17,NathanGillMEP,Patriotic_Brit
7.45898E+17,StrongerInPress,UsaamaK
7.45898E+17,StrongerInPress,meaglemp
7.45898E+17,NathanGillMEP,TheSun
7.45898E+17,HonourCovenant,HonourCovenant
7.45898E+17,NathanGillMEP,richardcalhoun
7.45898E+17,NathanGillMEP,Daily_Express
7.45899E+17,NadineDorriesMP,vote_leave
7.45899E+17,StrongerInPress,EMidsStrongerIn
7.45899E+17,sturdyAlex,PettanPettan
7.45899E+17,Alexicon83,theordinaryman2
7.45899E+17,Australiaunwra6,RichardH0well
7.459E+17,Alexicon83,theordinaryman2
7.459E+17,Alexicon83,theordinaryman2
7.459E+17,Alexicon83,theordinaryman2
7.459E+17,Alexicon83,Englishpapist
7.459E+17,Alexicon83,DavidJo52951945
7.459E+17,Alexicon83,MatthewSephton
7.459E+17,Alexicon83,GrantStanleyUK
7.459E+17,Alexicon83,LeeWatersUKIP
7.459E+17,Alexicon83,Combined_Ops
7.459E+17,Alexicon83,princess_sho
7.45901E+17,LouiseMensch,vote_leave
7.45901E+17,LibDems,scotthosking
7.45901E+17,StrongerInPress,NicolaSturgeon
7.45901E+17,StrongerInPress,NicolaSturgeon
7.45901E+17,TheGreenParty,natalieben
7.45901E+17,LouiseMensch,Lesqueenb
7.45901E+17,LouiseMensch,blake_ari
7.45901E+17,LibDems,LewisStrongerIn
7.45901E+17,Dwalingen,Dwalingen
7.45901E+17,vote_leave,Harsimrat__Kaur
7.45902E+17,SadiqKhan,StrongerIn
7.45902E+17,Dwalingen,JoKer33817736
7.45902E+17,Dwalingen,ira_tenax
7.45902E+17,StrongerIn,NicolaSturgeon
7.45902E+17,NicolaSturgeon,itvnews
7.45903E+17,Alexicon83,ClaireActually
7.45903E+17,Alexicon83,PrescottBeth
7.45903E+17,Alexicon83,realdealdanny
7.45903E+17,NicolaSturgeon,SkyNews
7.45903E+17,Alexicon83,LiamFoxMP
7.45903E+17,Alexicon83,PrisonPlanet
7.45903E+17,vote_leave,pompeypolly
7.45903E+17,LibDems,LDINtogether
7.45903E+17,LeaveEUOfficial,louisthirIs
7.45903E+17,Alexicon83,uniforbritain
7.45904E+17,LeaveEUOfficial,AlexeiSand
7.45904E+17,Australiaunwra6,RichardH0well
7.45904E+17,HonourCovenant,HonourCovenant
7.45904E+17,rowbar,GaryLineker
7.45905E+17,StrongerIn,The_TUC
7.45905E+17,LibDems,scotthosking
7.45905E+17,StrongerInPress,ben4bath
7.45905E+17,Alexicon83,Ian_Fry
7.45905E+17,Alexicon83,louisthirIs
7.45905E+17,Alexicon83,RossThomsonTory
7.45905E+17,Alexicon83,TheFactCompiler
7.45905E+17,LibDems,esbagshaw
7.45905E+17,Australiaunwra6,Australiaunwra6
7.45905E+17,Alexicon83,Cllr_Mike_Green
7.45906E+17,Alexicon83,TheHillpaul
7.45906E+17,Alexicon83,FreddiePSS
7.45906E+17,LibDems,vincecable
7.45906E+17,Alexicon83,Holbornlolz
7.45906E+17,DavidJo52951945,vote_leave
7.45906E+17,Alexicon83,Englishpapist
7.45906E+17,StrongerIn,UKLabourIN
7.45906E+17,StrongerIn,UKLabour
7.45906E+17,DavidJo52951945,LeaveEUOfficial
7.45906E+17,StrongerIn,StrongerInPress
7.45906E+17,StrongerIn,GregHands
7.45907E+17,vote_leave,AndrewRosindell
7.45907E+17,rowbar,GaryLineker
7.45907E+17,vote_leave,HenrySmithMP
7.45907E+17,LouiseMensch,Lab_Westbourne
7.45908E+17,Alexicon83,Linda_b_123
7.45908E+17,vote_leave,MalcCarter
7.45908E+17,Alexicon83,BellaSassin
7.45908E+17,Bonn1eGreer,WorkPsychol
7.45908E+17,Alexicon83,Harsimrat__Kaur
7.45908E+17,LouiseMensch,LitteHOnline
